Country Code ISO3;Country;year;population;eusubreg;gdp/capita;sdg1_transfer;sdg1_umicpov;sdg1_material;sdg2_obesity;sdg2_trophic;sdg2_ammonia;sdg3_eulifee;sdg3_legap;sdg3_avoidable;sdg3_ghealth;sdg3_eutb;sdg3_suicide;sdg3_hgap;sdg3_u5mort;sdg3_incgap;sdg3_road;sdg3_binge;sdg3_vac;sdg3_smoking;sdg3_insucov;sdg3_ehealth;sdg3_oopocket;sdg3_swb;sdg4_earlyleav;sdg4_child;sdg4_pisa;sdg4_tertiary;sdg4_underach;sdg4_adult;sdg4_socioec;sdg5_empgap;sdg5_paygap;sdg5_caring;sdg5_wparl;sdg5_wmanage;sdg5_ictwomen;sdg6_shower;sdg6_exploit;sdg6_wastew;sdg6_safewat;sdg6_safesan;sdg7_warm;sdg7_eurenew;sdg7_co2twh;sdg8_income;sdg8_rights;sdg8_accident;sdg8_impacc;sdg8_euyneet;sdg8_unemp;sdg8_inwork;sdg9_uni;sdg9_epo;sdg9_eurd;sdg9_lpi;sdg9_bband;sdg9_bbandgap;sdg9_rdperson;sdg9_articles;sdg10_gini;sdg10_palma;sdg11_crowding;sdg11_recycle;sdg11_eupm25;sdg11_hburden;sdg11_dwelling;sdg12_explastic;sdg12_circular;sdg12_value;sdg12_nprod;sdg12_nimport;sdg13_co2gcp;sdg13_ghgimport;sdg14_bath;sdg14_fishstocks;sdg14_cpma;sdg14_trawl;sdg14_discard;sdg15_redlist;sdg15_cpta;sdg15_oxygen;sdg15_cpfa;sdg15_nitrate;sdg16_rsf;sdg16_cpi;sdg16_crime;sdg16_homicide;sdg16_crimepov;sdg16_detain;sdg16_justice;sdg16_admin;sdg16_power;sdg17_oda;sdg17_statperf;sdg17_sprofits
EST;Estonia;2018;1319304;Baltic States;14920;22;6;4;;;9;79;;386;52;13;15;43;3;2;5;;87;;95;24;25;6;12;92;526;41;10;19;9;6;22;1;30;8;23;4;8;83;97;90;2;30;2;15421;1;2;0;12;5;9;35;36;1;3;90;3;1;2;31;1;13;28;6;4;14;;14;5;52,73;51;14;8;67;2;98;7;4;1;95;2;93;5;86;73;7;2;0;21;1;1;1;0;87;0
EST;Estonia;2019;1324991;Baltic States;15450;22;5;3;22;;9;79;;364;57;13;15;45;2;0;4;3;88;;95;;24;6;11;92;;41;;20;;6;22;1;29;9;24;4;5;83;97;90;3;32;3;16089;1;3;;10;5;10;37;36;2;;90;2;1;3;31;1;18;31;5;4;14;;16;5;;;9;8;63;;98;7;4;1;95;2;93;5;88;74;7;2;0;20;1;1;1;0;86;0
EST;Estonia;2020;1329086;Baltic States;15260;21;5;3;;;9;79;;376;58;10;16;47;2;0;4;;91;18;95;23;21;7;9;92;;40;;17;;4;21;1;30;9;23;3;;83;97;90;3;30;;16435;1;2;;11;7;10;32;43;2;;90;2;1;3;31;;17;29;;4;10;;16;5;;;7;7;63;;98;;;1;95;2;93;6;87;75;6;3;0;;1;1;1;0;;
EST;Estonia;2021;1329802;Baltic States;16350;21;4;;;;9;77;;;58;9;;41;2;3;4;;89;;96;;22;7;10;92;;43;;18;;4;21;1;27;9;23;;;82;97;90;2;38;;17576;1;2;;11;;10;35;52;2;;92;4;1;3;31;;19;30;;4;;12;15;;;;8;9;68;;98;;;1;95;;93;;85;74;;;;;1;1;1;0;;
EST;Estonia;2022;1327600;Baltic States;16250;23;4;;;;;78;;;58;;;44;;5;;;;;96;41;22;6;11;;516;44;15;21;13;3;;1;28;10;25;;;;97;90;3;;;;1;;;11;;11;38;50;;;92;3;;3;32;;21;;;5;;;;;;;;;65;;98;;;1;95;;93;;89;74;;;;;1;1;1;1;;
EST;Estonia;2023;1324524;Baltic States;15370;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;85;;;;;;;;;;;
EUU;European Union;2018;;;;17;2;6;;;24;81;3;250;68;12;10;20;4;3;5;;93;;99;18;18;7;11;92;488;39;23;11;16;11;13;1;32;29;17;2;6;80;97;90;8;19;1;22300;1;2;0;14;7;9;52;148;2;4;88;6;1;2;30;1;28;44;15;10;14;;13;2;41,19;26;7;6;79;36;82;28;10;1;77;3;78;26;80;65;11;1;3;21;1;1;1;0;87;26
EUU;European Union;2019;;;;16;2;5;16;;23;81;3;244;68;11;10;21;4;2;5;4;93;;99;;18;7;10;93;;39;;11;;11;12;1;33;31;18;2;5;80;97;90;7;19;1;22954;1;2;;13;7;9;54;148;2;;89;5;1;2;30;1;28;45;13;9;13;;13;2;;;7;6;80;;83;29;10;1;78;2;78;22;79;65;11;1;3;21;1;1;1;0;87;23
EUU;European Union;2020;;;;17;2;6;;;23;81;3;272;69;8;10;22;4;3;4;;91;24;99;21;17;7;10;93;;40;;9;;11;12;1;34;32;19;1;;80;97;90;7;21;;23186;1;2;;14;7;9;54;147;2;;91;4;1;2;30;;29;47;;8;15;;13;2;;;6;5;78;;83;;;1;78;2;79;22;80;65;10;1;4;;1;1;1;0;;
EUU;European Union;2021;;;;17;1;;;;22;80;3;;68;8;;21;4;2;4;;91;;99;;17;7;10;92;;41;;11;;11;11;1;34;33;19;;;80;97;91;7;21;;24193;1;2;;13;;9;55;151;2;;92;4;1;2;30;;28;47;;8;;8;13;;;;6;6;81;;83;;;1;78;;79;;80;66;;;;;1;1;1;0;;
